min_height,max_height,min_weight,max_weight,size
165.0,169.0,80.0,inf,XL이상
,,80.0,inf,XL이상
170.0,174.0,80.0,inf,XL이상
,,75.0,79.0,XL이상
160.0,164.0,70.0,74.0,XL이상
165.0,169.0,70.0,74.0,XL이상
,,70.0,74.0,XL이상
170.0,174.0,70.0,74.0,XL이상
175.0,179.0,70.0,74.0,XL이상
160.0,164.0,65.0,69.0,XL이상
165.0,169.0,65.0,69.0,XL이상
180.0,inf,,,XL이상
,,65.0,69.0,XL이상
170.0,174.0,65.0,69.0,XL이상
160.0,164.0,0.0,50.0,XS이하
,,0.0,50.0,XS이하
175.0,179.0,65.0,69.0,XL이상
175.0,179.0,,,XL이상
165.0,169.0,51.0,54.0,S
160.0,164.0,55.0,59.0,M
165.0,169.0,55.0,59.0,M
160.0,164.0,51.0,54.0,S
,,51.0,54.0,S
170.0,174.0,55.0,59.0,M
,,55.0,59.0,M
155.0,159.0,51.0,54.0,S
170.0,174.0,,,XL이상
170.0,174.0,60.0,64.0,M
,,0.0,50.0,S
165.0,169.0,,,XL이상
165.0,169.0,60.0,64.0,M
160.0,164.0,60.0,64.0,XL이상
,,60.0,64.0,M
160.0,164.0,60.0,64.0,L
170.0,174.0,55.0,59.0,S
165.0,169.0,60.0,64.0,L
170.0,174.0,60.0,64.0,L
,,60.0,64.0,L
,,60.0,64.0,XL이상
165.0,169.0,60.0,64.0,XL이상
160.0,164.0,60.0,64.0,M
170.0,174.0,65.0,69.0,L
151.0,154.0,,,S
160.0,164.0,,,XL이상
165.0,169.0,55.0,59.0,S
165.0,169.0,,,M
,,55.0,59.0,S
160.0,164.0,,,M
155.0,159.0,,,S
170.0,174.0,,,M
,,51.0,54.0,M
,,65.0,69.0,L
,,80.0,inf,XL이상
,,80.0,inf,165~169cm
160.0,164.0,51.0,54.0,M
,,80.0,inf,XL이상
,,80.0,inf,170~174cm
,,70.0,74.0,XL이상
,,70.0,74.0,170~174cm
151.0,154.0,,,M
155.0,159.0,,,M
170.0,174.0,60.0,64.0,XL이상
,,70.0,74.0,XL이상
,,70.0,74.0,165~169cm
160.0,164.0,55.0,59.0,S
155.0,159.0,,,XL이상
160.0,164.0,,,S
160.0,164.0,51.0,54.0,XS이하
,,51.0,54.0,XS이하
151.0,154.0,,,XS이하
175.0,179.0,,,M
151.0,154.0,,,XL이상
175.0,179.0,,,L
,,51.0,54.0,S
,,51.0,54.0,160~164cm
,,65.0,69.0,XL이상
,,65.0,69.0,165~169cm
,,0.0,50.0,XS이하
,,0.0,50.0,160~164cm
165.0,169.0,,,S
175.0,179.0,,,XL이상
175.0,179.0,,,70~74kg
170.0,174.0,,,L
155.0,159.0,,,XS이하
,,65.0,69.0,XL이상
,,65.0,69.0,170~174cm
,,70.0,74.0,XL이상
,,70.0,74.0,175~179cm
160.0,164.0,55.0,59.0,L
165.0,169.0,,,L
,,70.0,74.0,XL이상
,,70.0,74.0,160~164cm
,,55.0,59.0,M
,,55.0,59.0,160~164cm
,,55.0,59.0,M
,,55.0,59.0,165~169cm
,,55.0,59.0,L
170.0,174.0,,,S
160.0,164.0,,,M
160.0,164.0,,,55~59kg
155.0,159.0,,,S
155.0,159.0,,,51~54kg
160.0,164.0,,,L
165.0,169.0,,,M
165.0,169.0,,,55~59kg
,,65.0,69.0,XL이상
,,65.0,69.0,160~164cm
160.0,164.0,,,S
160.0,164.0,,,51~54kg
,,51.0,54.0,S
,,51.0,54.0,165~169cm
175.0,179.0,,,XL이상
175.0,179.0,,,65~69kg
170.0,174.0,,,XL이상
170.0,174.0,,,70~74kg
170.0,174.0,,,M
170.0,174.0,,,55~59kg
,,65.0,69.0,M
160.0,164.0,,,XS이하
170.0,174.0,,,XL이상
170.0,174.0,,,65~69kg
,,60.0,64.0,M
,,60.0,64.0,170~174cm
,,60.0,64.0,M
,,60.0,64.0,165~169cm
170.0,174.0,,,M
170.0,174.0,,,60~64kg
,,55.0,59.0,M
,,55.0,59.0,170~174cm
,,51.0,54.0,M
,,51.0,54.0,160~164cm
,,60.0,64.0,L
,,60.0,64.0,165~169cm
165.0,169.0,,,XL이상
165.0,169.0,,,65~69kg
165.0,169.0,,,XL이상
165.0,169.0,,,70~74kg
,,60.0,64.0,XL이상
,,60.0,64.0,165~169cm
,,60.0,64.0,L
,,60.0,64.0,170~174cm
,,51.0,54.0,XS이하
,,51.0,54.0,160~164cm
170.0,174.0,,,L
170.0,174.0,,,60~64kg
,,55.0,59.0,XL이상
,,65.0,69.0,XL이상
,,65.0,69.0,175~179cm
,,55.0,59.0,S
,,55.0,59.0,165~169cm
165.0,169.0,,,M
165.0,169.0,,,60~64kg
,,65.0,69.0,L
,,65.0,69.0,170~174cm
,,60.0,64.0,XL이상
,,60.0,64.0,160~164cm
170.0,174.0,,,S
170.0,174.0,,,55~59kg
,,60.0,64.0,L
,,60.0,64.0,160~164cm
,,51.0,54.0,S
,,51.0,54.0,155~159cm
165.0,169.0,,,S
165.0,169.0,,,51~54kg
165.0,169.0,,,S
165.0,169.0,,,55~59kg
165.0,169.0,,,L
165.0,169.0,,,60~64kg
,,55.0,59.0,S
,,55.0,59.0,160~164cm
160.0,164.0,,,XL이상
160.0,164.0,,,65~69kg
165.0,169.0,,,XL이상
165.0,169.0,,,60~64kg
,,55.0,59.0,S
,,55.0,59.0,170~174cm
165.0,169.0,,,XS이하
160.0,164.0,,,S
160.0,164.0,,,55~59kg
,,60.0,64.0,XL이상
,,60.0,64.0,170~174cm
,,60.0,64.0,M
,,60.0,64.0,160~164cm
170.0,174.0,,,XL이상
170.0,174.0,,,60~64kg
160.0,164.0,,,XL이상
160.0,164.0,,,60~64kg
170.0,174.0,,,XL이상
170.0,174.0,,,over_80kg
160.0,164.0,,,M
160.0,164.0,,,51~54kg
160.0,164.0,,,L
160.0,164.0,,,60~64kg
,,60.0,64.0,S
160.0,164.0,,,XL이상
160.0,164.0,,,70~74kg
160.0,164.0,,,XS이하
160.0,164.0,,,51~54kg
160.0,164.0,,,M
160.0,164.0,,,60~64kg
170.0,174.0,,,L
170.0,174.0,,,65~69kg
160.0,164.0,,,less_50kg
160.0,164.0,,,XS이하
165.0,169.0,,,XL이상
165.0,169.0,,,over_80kg
,,55.0,59.0,L
,,55.0,59.0,160~164cm
160.0,164.0,,,L
160.0,164.0,,,55~59kg
